location_id,sample_depth_min,sample_depth_max,SOCc,BD
Chri10_7,45,55,0.72,1.3880575232914694
Chri10_7,55,57.5,0.631,1.409686918833176
Chri10_7,57.5,60,0.556,1.6748180779161337
Chri10_7,60,62.5,0.509,1.4733739229247096
Chri10_7,62.5,65,0.428,1.3964506386464792
Chri10_8,0,15,1.851,1.0714733395150524
Chri10_8,15,25,1.181,1.1798936227738104
Chri10_8,25,27.5,0.933,1.5545089379023496
Chri10_8,27.5,30,0.873,1.15643685920534
Chri10_8,30,32.5,0.799,1.3347359929821925
Chri10_8,32.5,35,0.705,1.3792304101217905
Chri10_8,35,45,0.553,1.1443812071008144
Chri10_9,0,15,2.522,1.0211354905259218
Chri10_9,15,25,2.036,1.1846915218513079
Chri10_9,25,27.5,1.66,1.1872893941287739
Chri10_9,27.5,30,1.532,1.2701301681882278
Chri10_9,30,32.5,1.38,1.2041412350873293
Chri10_9,32.5,35,1.237,1.3690403538071119
Chri10_9,35,45,0.992,1.2093301706777182
Chri10_9,45,55,0.676,1.2513721816863794
Chri10_9,57.5,60,0.424,1.2041648762892285
Chri10_10,0,15,1.598,1.254185138817677
Chri10_10,15,25,1.274,1.3277284052381484
Chri10_10,25,27.5,1.052,1.1685687708540418
Chri10_10,27.5,30,0.974,1.6447221724992285
Chri10_10,30,32.5,0.944,1.2465881965214414
Chri10_10,32.5,35,0.831,1.1988097678606322
Chri10_10,35,45,0.748,1.1660488931136053
Chri10_10,45,55,0.585,1.172778478281632
Chri10_10,55,57.5,0.523,1.0289485203203257
Chri10_10,57.5,60,0.509,1.192866373492583
Chri10_11,0,15,1.743,1.0624293204838209
Chri10_11,15,25,1.328,1.1860728849222117
Chri10_11,25,27.5,1.218,1.2985402771953571
Chri10_11,27.5,30,1.067,1.6159966229572402
Chri10_11,30,32.5,0.906,1.1402185267589768
Chri10_11,32.5,35,0.823,1.1569220935829072
Chri10_11,35,45,0.7,1.2044157855602888
Chri10_12,0,15,2.023,1.1301824762151442
Chri10_12,15,25,1.576,1.3507460988662898
Chri10_12,25,27.5,1.136,1.4228785700870596
Chri10_12,27.5,30,1.073,1.2929119854507143
Chri10_12,30,32.5,0.955,1.450501737463907
Chri10_12,32.5,35,0.9,1.2001931600074998
Chri10_12,35,45,0.716,1.2403166233444225
Chri10_12,45,55,0.531,1.2787404620939113
Chri10_12,55,57.5,0.465,1.3790006481618886
Merc2_1,0,15,2.129,1.0677863037745234
Merc2_1,15,25,1.795,1.1675167850951387
Merc2_1,25,27.5,1.457,1.2639495088137422
Merc2_1,27.5,30,1.341,1.1323698981354033
Merc2_1,30,32.5,1.261,1.1792173041824214
Merc2_1,32.5,35,1.125,1.1351951603028732
Merc2_1,35,45,0.866,1.1702264631626642
Merc2_1,45,55,0.583,1.551668655507365
Merc2_1,55,57.5,0.438,1.1857347146957404
Merc2_1,57.5,60,0.407,1.1531543869412693
Merc2_1,60,62.5,0.375,1.2149140496516628
Merc2_1,62.5,65,0.347,1.1462471255217948
Merc2_1,65,75,0.335,1.2133692543316887
Merc2_2,0,15,2.076,1.1774508172037
Merc2_2,15,25,1.198,1.2387514977439245
Merc2_2,25,27.5,0.951,1.4146362134003516
Merc2_2,27.5,30,0.86,1.3222038908636304
Merc2_2,30,32.5,0.827,1.368329653880031
Merc2_2,32.5,35,0.763,1.268732346897739
Merc2_2,35,45,0.685,1.2490478634760476
Merc2_2,45,55,0.419,1.2220585548383005
Merc2_2,55,57.5,0.528,1.3262842530410028
